userId,movieId,rating
611,7164,3.0
611,2812,3.0
611,117887,3.0
611,27251,3.0
611,6390,3.0
611,7089,3.0
611,139747,3.0
611,6775,3.0
611,508,3.0
611,179815,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,1216,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,88125,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
611,6939,3.0
612,5083,3.0
612,6204,3.0
612,5522,3.0
612,8865,3.0
612,7380,3.0
612,2094,3.0
612,4695,3.0
612,119155,3.0
612,102802,3.0
612,6101,3.0
613,4715,3.0
613,201,3.0
613,37739,3.0
613,8643,3.0
613,2964,3.0
613,62511,3.0
613,879,3.0
613,67168,3.0
613,89864,3.0
613,2787,3.0
614,526,3.0
614,8643,3.0
614,8481,3.0
614,3015,3.0
614,1639,3.0
614,8484,3.0
614,4012,3.0
614,2414,3.0
614,3938,3.0
614,44020,3.0
615,113829,3.0
615,4370,3.0
615,59306,3.0
615,42730,3.0
615,1262,3.0
615,74750,3.0
615,4901,3.0
615,139655,3.0
615,5938,3.0
615,6638,3.0
616,95170,3.0
616,1626,3.0
616,1124,3.0
616,1518,3.0
616,40339,3.0
616,117368,3.0
616,3553,3.0
616,6572,3.0
616,3174,3.0
616,3833,3.0
617,88812,3.0
617,3700,3.0
617,6064,3.0
617,79299,3.0
617,103339,3.0
617,106542,3.0
617,4282,3.0
617,45499,3.0
617,37830,3.0
617,25898,3.0
618,114180,3.0
618,711,3.0
618,2194,3.0
618,6620,3.0
618,7414,3.0
618,60408,3.0
618,79897,3.0
618,838,3.0
618,7325,3.0
618,73881,3.0
619,26630,3.0
619,150596,3.0
619,44931,3.0
619,662,3.0
619,1682,3.0
619,196,3.0
619,193567,3.0
619,491,3.0
619,180,3.0
619,2429,3.0
620,26745,3.0
620,2802,3.0
620,3109,3.0
620,1204,3.0
620,374,3.0
620,127098,3.0
620,71500,3.0
620,2926,3.0
620,86911,3.0
620,104879,3.0
621,5472,3.0
621,3246,3.0
621,26391,3.0
621,2824,3.0
621,575,3.0
621,33158,3.0
621,7811,3.0
621,6890,3.0
621,96588,3.0
621,5880,3.0
622,4117,3.0
622,4161,3.0
622,161580,3.0
622,1862,3.0
622,55241,3.0
622,7766,3.0
622,453,3.0
622,6181,3.0
622,208,3.0
622,82093,3.0
623,84392,3.0
623,3045,3.0
623,2993,3.0
623,43914,3.0
623,102058,3.0
623,373,3.0
623,110553,3.0
623,2683,3.0
623,86548,3.0
623,2725,3.0
624,50610,3.0
624,1617,3.0
624,26828,3.0
624,71135,3.0
624,150696,3.0
624,5951,3.0
624,7450,3.0
624,133867,3.0
624,52668,3.0
624,841,3.0
625,91500,3.0
625,3475,3.0
625,134041,3.0
625,91869,3.0
625,89190,3.0
625,1648,3.0
625,175303,3.0
625,280,3.0
625,189043,3.0
625,4024,3.0
626,5490,3.0
626,6656,3.0
626,98799,3.0
626,54116,3.0
626,64839,3.0
626,7141,3.0
626,4645,3.0
626,6817,3.0
626,6579,3.0
626,128542,3.0
627,6157,3.0
627,82765,3.0
627,3548,3.0
627,71902,3.0
627,79242,3.0
627,8875,3.0
627,31221,3.0
627,31878,3.0
627,5909,3.0
627,8949,3.0
628,40,3.0
628,4135,3.0
628,48214,3.0
628,96691,3.0
628,111800,3.0
628,44943,3.0
628,122896,3.0
628,100553,3.0
628,898,3.0
628,47516,3.0
629,32892,3.0
629,2686,3.0
629,112138,3.0
629,150,3.0
629,8724,3.0
629,3138,3.0
629,6040,3.0
629,4008,3.0
629,7894,3.0
629,116138,3.0
630,114184,3.0
630,2892,3.0
630,6188,3.0
630,4953,3.0
630,3814,3.0
630,34,3.0
630,2875,3.0
630,7072,3.0
630,47999,3.0
630,7562,3.0
631,70545,3.0
631,4959,3.0
631,95949,3.0
631,1329,3.0
631,4893,3.0
631,81788,3.0
631,110771,3.0
631,4630,3.0
631,7299,3.0
631,4407,3.0
632,7049,3.0
632,406,3.0
632,4061,3.0
632,101739,3.0
632,26422,3.0
632,4148,3.0
632,183635,3.0
632,3315,3.0
632,7449,3.0
632,1769,3.0
633,25769,3.0
633,32587,3.0
633,127184,3.0
633,4147,3.0
633,65514,3.0
633,184257,3.0
633,4602,3.0
633,3863,3.0
633,606,3.0
633,94799,3.0
633,89678,3.0
633,3619,3.0
633,6722,3.0
633,72011,3.0
633,66335,3.0
633,7019,3.0
633,63179,3.0
633,33681,3.0
633,116419,3.0
633,7158,3.0
634,78626,3.0
634,1611,3.0
634,1810,3.0
634,6201,3.0
634,26649,3.0
634,26676,3.0
634,3597,3.0
634,167370,3.0
634,6005,3.0
634,3668,3.0
635,70984,3.0
635,27592,3.0
635,2683,3.0
635,93139,3.0
635,115149,3.0
635,81910,3.0
635,5596,3.0
635,3599,3.0
635,102123,3.0
635,761,3.0
636,906,3.0
636,2843,3.0
636,2028,3.0
636,7481,3.0
636,91355,3.0
636,106540,3.0
636,4443,3.0
636,2226,3.0
636,380,3.0
636,32294,3.0
637,91935,3.0
637,7059,3.0
637,1128,3.0
637,3455,3.0
637,2863,3.0
637,26680,3.0
637,71379,3.0
637,5959,3.0
637,78316,3.0
637,44761,3.0
